dataset,bootstrap_avg,avg_abs_dist,Baseline
CSC,"NumSamples: 20, Mean: 0.240, 95% CI: 0.239 - 0.241",0.24,Simple Sampling
MP,"NumSamples: 20, Mean: 0.429, 95% CI: 0.425 - 0.432",0.429,Simple Sampling
Paraphrase,"NumSamples: 20, Mean: 0.249, 95% CI: 0.248 - 0.251",0.249,Simple Sampling
VariErrNLI,"NumSamples: 20, Mean: 0.315, 95% CI: 0.313 - 0.317",0.315,Simple Sampling
