Baseline,CSC,MP,Paraphrase,VariErrNLI
Simple,1.007,0.262,1.879,0.222
Smoothing,1.101,0.711,2.166,0.255
Averaging,0.907,0.242,1.721,0.201
BoN Oracle,0.528,0.108,1.194,0.107
