Baseline,CSC,MP,Paraphrase,VariErrNLI
Simple Sampling,1.004,0.261,1.892,0.224
Smoothing,1.116,0.265,2.198,0.257
Model Averaging,0.906,0.243,1.781,0.204
BoN Oracle,0.507,0.111,1.294,0.112
